date,company,ticker,brand,sales,status,updated
2019-01-01,MUSINSA Co Ltd,,무신사,0,F,2022-12-20 14:43:32.000
2019-01-01,NS Shopiing Co Ltd,138250,NS홈쇼핑,3292000,F,2022-12-20 14:43:32.000
2019-01-01,OUTBACK STEAKHOUSE KOREA,,아웃백,1040000,F,2022-12-20 14:43:32.000
2019-01-01,PARNAS HOTEL CO LTD,,인터컨티넨탈서울,265000,F,2022-12-20 14:43:32.000
2019-01-01,RedcapTour Co Ltd,038390,레드캡투어,8000,F,2022-12-20 14:43:32.000
2019-01-01,S-Oil Corporation,010950,에쓰오일,17256000,F,2022-12-20 14:43:32.000
2019-01-01,SAMSUNG C&T CORPORATION,028260,에버랜드,295000,F,2022-12-20 14:43:32.000
2019-01-01,SCK Company Co Ltd,,스타벅스,4118000,F,2022-12-20 14:43:32.000
2019-01-01,SHINSEGAE Inc,004170,신세계백화점,722000,F,2022-12-20 14:43:32.000
2019-01-01,SHINWON CORPORATION,009270,신원,101000,F,2022-12-20 14:43:32.000
2019-01-01,SKNetworksCompanyLimited,001740,SPEEDMATE,166000,F,2022-12-20 14:43:32.000
2019-01-01,SPC SAMLIP CO LTD,005610,삼립,504000,F,2022-12-20 14:43:32.000
2019-01-01,SSANGYONG MOTOR CO LTD,003620,쌍용자동차,0,F,2022-12-20 14:43:32.000
2019-01-01,TMON Inc,,티몬,8323000,F,2022-12-20 14:43:32.000
2019-01-01,TWAYAIR,091810,티웨이항공,948000,F,2022-12-20 14:43:32.000
2019-01-01,WOONGJIN THINKBIG,095720,웅진씽크빅,92000,F,2022-12-20 14:43:32.000
2019-01-01,Woowa Brothers Corp,,배달의민족,7711000,F,2022-12-20 14:43:32.000
2019-01-01,YES24,053280,예스24,888000,F,2022-12-20 14:43:32.000
2019-01-01,ZARA RETAIL KOREA CO LTD,ITX,자라리테일,668000,F,2022-12-20 14:43:32.000
